w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.618,838.615419221,658.349800895,447.678749829,1098.61860768,692.781773318
1.62,838.119131957,657.935334688,447.31121939,1098.02136333,692.388298249
1.622,837.62313924,657.521271662,446.944066471,1097.42443188,691.995076308
1.624,837.127441069,657.107611817,446.57729107,1096.82781331,691.602107496
1.626,836.632037444,656.694355153,446.210893189,1096.23150764,691.209391812
1.628,836.136928367,656.281501669,445.844872828,1095.63551485,690.816929258
1.63,835.642113835,655.869051367,445.479229985,1095.03983496,690.424719833
1.632,835.14759385,655.457004245,445.113964662,1094.44446796,690.032763536
1.634,834.653368412,655.045360304,444.749076858,1093.84941385,689.641060368
1.636,834.15943752,654.634119545,444.384566574,1093.25467263,689.249610329
1.638,833.665801174,654.223281966,444.020433808,1092.66024431,688.858413419
1.64,833.172459375,653.812847567,443.656678562,1092.06612887,688.467469637
1.642,832.679412123,653.40281635,443.293300836,1091.47232633,688.076778985
1.644,832.186659417,652.993188314,442.930300628,1090.87883667,687.686341461
1.646,831.694201257,652.583963458,442.56767794,1090.28565991,687.296157066
1.648,831.202037644,652.175141784,442.205432771,1089.69279604,686.9062258
1.65,830.710168577,651.76672329,441.843565122,1089.10024506,686.516547663
1.652,830.218594057,651.358707977,441.482074991,1088.50800697,686.127122655
1.654,829.727314083,650.951095845,441.12096238,1087.91608177,685.737950775
1.656,829.236328656,650.543886894,440.760227289,1087.32446946,685.349032024
1.658,828.745637775,650.137081124,440.399869716,1086.73317004,684.960366402
1.66,828.255241441,649.730678534,440.039889663,1086.14218352,684.571953909
1.662,827.765139653,649.324679126,439.68028713,1085.55150989,684.183794545
1.664,827.275332412,648.919082898,439.321062115,1084.96114914,683.79588831
1.666,826.785819717,648.513889851,438.96221462,1084.37110129,683.408235203
1.668,826.296601568,648.109099986,438.603744644,1083.78136633,683.020835225
1.67,825.807677966,647.704713301,438.245652187,1083.19194426,682.633688377
1.672,825.319048911,647.300729796,437.88793725,1082.60283508,682.246794656
1.674,824.830714402,646.897149473,437.530599832,1082.0140388,681.860154065
1.676,824.342674439,646.493972331,437.173639933,1081.4255554,681.473766603
1.678,823.854929023,646.091198369,436.817057554,1080.83738489,681.087632269
1.68,823.367478154,645.688827589,436.460852694,1080.24952728,680.701751065
1.682,822.880321831,645.286859989,436.105025353,1079.66198256,680.316122989
1.684,822.393460054,644.88529557,435.749575531,1079.07475073,679.930748042
1.686,821.906892824,644.484134332,435.394503229,1078.48783178,679.545626223
1.688,821.42062014,644.083376275,435.039808446,1077.90122574,679.160757534
1.69,820.934642003,643.683021399,434.685491182,1077.31493258,678.776141973
1.692,820.448958412,643.283069703,434.331551438,1076.72895231,678.391779542
1.694,819.963569368,642.883521189,433.977989212,1076.14328493,678.007670239
1.696,819.47847487,642.484375855,433.624804507,1075.55793045,677.623814064
1.698,818.993674918,642.085633702,433.27199732,1074.97288885,677.240211019
1.7,818.509169514,641.68729473,432.919567653,1074.38816015,676.856861103
1.702,818.024958655,641.289358939,432.567515505,1073.80374434,676.473764315
1.704,817.541042343,640.891826329,432.215840876,1073.21964142,676.090920656
1.706,817.057420578,640.4946969,431.864543767,1072.63585139,675.708330126
1.708,816.574093359,640.097970652,431.513624176,1072.05237425,675.325992725
1.71,816.091060686,639.701647584,431.163082106,1071.46921,674.943908453
1.712,815.60832256,639.305727697,430.812917554,1070.88635865,674.56207731
1.714,815.125878981,638.910210992,430.463130522,1070.30382018,674.180499295
1.716,814.643729947,638.515097467,430.113721009,1069.72159461,673.799174409
1.718,814.161875461,638.120387123,429.764689015,1069.13968193,673.418102652
1.72,813.680315521,637.72607996,429.416034541,1068.55808213,673.037284024
1.722,813.199050127,637.332175977,429.067757586,1067.97679523,672.656718525
1.724,812.71807928,636.938675176,428.71985815,1067.39582122,672.276406154
1.726,812.237402979,636.545577555,428.372336234,1066.81516011,671.896346913
1.728,811.757021225,636.152883116,428.025191836,1066.23481188,671.5165408
1.73,811.276934017,635.760591857,427.678424958,1065.65477654,671.136987816
1.732,810.797141356,635.368703779,427.3320356,1065.0750541,670.757687961
1.734,810.317643241,634.977218882,426.98602376,1064.49564454,670.378641235
1.736,809.838439672,634.586137166,426.64038944,1063.91654788,669.999847637
1.738,809.35953065,634.195458631,426.29513264,1063.33776411,669.621307169
1.74,808.880916175,633.805183276,425.950253358,1062.75929323,669.243019829
1.742,808.402596246,633.415311103,425.605751596,1062.18113524,668.864985618
1.744,807.924570863,633.02584211,425.261627353,1061.60329014,668.487204536
1.746,807.446840027,632.636776298,424.917880629,1061.02575793,668.109676582
1.748,806.969403738,632.248113667,424.574511425,1060.44853862,667.732401758
1.75,806.492261995,631.859854217,424.23151974,1059.87163219,667.355380062
1.752,806.015414798,631.471997948,423.888905574,1059.29503866,666.978611495
1.754,805.538862148,631.08454486,423.546668928,1058.71875801,666.602096057
1.756,805.062604044,630.697494952,423.204809801,1058.14279026,666.225833748
1.758,804.586640487,630.310848226,422.863328193,1057.5671354,665.849824568
1.76,804.110971476,629.92460468,422.522224104,1056.99179343,665.474068516
1.762,803.635597012,629.538764315,422.181497535,1056.41676435,665.098565594
1.764,803.160517094,629.153327131,421.841148485,1055.84204817,664.7233158
1.766,802.685731723,628.768293128,421.501176954,1055.26764487,664.348319135
1.768,802.211240898,628.383662306,421.161582943,1054.69355447,663.973575599
1.77,801.73704462,627.999434665,420.822366451,1054.11977695,663.599085191
1.772,801.263142888,627.615610204,420.483527478,1053.54631233,663.224847913
1.774,800.789535702,627.232188925,420.145066025,1052.9731606,662.850863763
1.776,800.316223063,626.849170826,419.80698209,1052.40032176,662.477132742
1.778,799.843204971,626.466555908,419.469275675,1051.82779581,662.10365485
1.78,799.370481425,626.084344172,419.13194678,1051.25558275,661.730430087
1.782,798.898052425,625.702535615,418.794995403,1050.68368258,661.357458453
1.784,798.425917972,625.32113024,418.458421546,1050.11209531,660.984739947
1.786,797.954078066,624.940128046,418.122225208,1049.54082092,660.612274571
1.788,797.482532706,624.559529033,417.78640639,1048.96985943,660.240062323
